OrderID,OrderDate,DispatchDate,ETA,DeliveryDate,OriginPlant,DestinationWarehouse,TransportMode,Supplier,DelayReason
O-1034,2023-05-13,2023-05-15,2023-05-19,2023-05-22,Chennai,Kolkata_WH,Road,Supplier_D,Weather
O-1035,2023-05-31,2023-06-01,2023-06-06,2023-06-06,Bengaluru,Delhi_WH,Rail,Supplier_D,None
O-1036,2023-04-09,2023-04-11,2023-04-13,2023-04-16,Chennai,Delhi_WH,Air,Supplier_C,Customs Delay
O-1037,2023-01-24,2023-01-25,2023-01-31,2023-02-01,Chennai,Kolkata_WH,Sea,Supplier_A,Customs Delay
O-1038,2023-09-09,2023-09-10,2023-09-16,2023-09-15,Bengaluru,Ahmedabad_WH,Air,Supplier_A,None
O-1039,2023-06-02,2023-06-05,2023-06-10,2023-06-11,Hyderabad,Ahmedabad_WH,Road,Supplier_D,Traffic
O-1040,2023-05-30,2023-05-31,2023-06-03,2023-06-04,Hyderabad,Ahmedabad_WH,Sea,Supplier_D,Weather
O-1041,2023-01-31,2023-02-01,2023-02-05,2023-02-08,Chennai,Delhi_WH,Sea,Supplier_C,Weather
O-1042,2023-02-16,2023-02-17,2023-02-23,2023-02-26,Pune,Delhi_WH,Rail,Supplier_C,Traffic
O-1043,2023-07-29,2023-07-31,2023-08-04,2023-08-03,Hyderabad,Kolkata_WH,Air,Supplier_A,None
O-1044,2023-07-31,2023-08-01,2023-08-04,2023-08-07,Bengaluru,Ahmedabad_WH,Sea,Supplier_D,Weather
O-1045,2023-06-09,2023-06-12,2023-06-14,2023-06-17,Chennai,Mumbai_WH,Road,Supplier_A,Transport Breakdown
O-1046,2023-05-05,2023-05-07,2023-05-13,2023-05-13,Hyderabad,Ahmedabad_WH,Sea,Supplier_D,None
O-1047,2023-10-03,2023-10-05,2023-10-09,2023-10-10,Chennai,Ahmedabad_WH,Sea,Supplier_D,Transport Breakdown
O-1048,2023-01-19,2023-01-20,2023-01-26,2023-01-29,Chennai,Ahmedabad_WH,Road,Supplier_D,Weather
O-1049,2023-06-18,2023-06-21,2023-06-27,2023-06-29,Hyderabad,Delhi_WH,Sea,Supplier_C,Weather
O-1050,2023-03-27,2023-03-30,2023-04-03,2023-04-02,Bengaluru,Ahmedabad_WH,Road,Supplier_A,None
O-1051,2023-11-14,2023-11-17,2023-11-20,2023-11-22,Bengaluru,Ahmedabad_WH,Air,Supplier_B,Customs Delay
O-1052,2023-06-04,2023-06-05,2023-06-10,2023-06-12,Pune,Ahmedabad_WH,Air,Supplier_D,Traffic
O-1053,2023-11-07,2023-11-09,2023-11-12,2023-11-12,Pune,Mumbai_WH,Rail,Supplier_D,None
O-1054,2023-06-17,2023-06-20,2023-06-25,2023-06-25,Bengaluru,Kolkata_WH,Air,Supplier_B,None
O-1055,2023-08-28,2023-08-29,2023-09-01,2023-09-01,Pune,Delhi_WH,Sea,Supplier_C,None
O-1056,2023-12-12,2023-12-13,2023-12-18,2023-12-17,Pune,Delhi_WH,Rail,Supplier_D,None
O-1057,2023-02-19,2023-02-20,2023-02-26,2023-02-26,Hyderabad,Delhi_WH,Sea,Supplier_C,None
O-1058,2023-04-22,2023-04-24,2023-04-29,2023-04-29,Bengaluru,Kolkata_WH,Rail,Supplier_C,None
O-1059,2023-01-26,2023-01-28,2023-01-31,2023-01-31,Chennai,Delhi_WH,Air,Supplier_A,None
O-1060,2023-03-31,2023-04-01,2023-04-03,2023-04-03,Chennai,Kolkata_WH,Road,Supplier_B,None
O-1061,2023-07-05,2023-07-08,2023-07-14,2023-07-13,Hyderabad,Ahmedabad_WH,Sea,Supplier_A,None
O-1062,2023-12-31,2024-01-02,2024-01-04,2024-01-03,Bengaluru,Ahmedabad_WH,Rail,Supplier_D,None
O-1063,2023-12-26,2023-12-27,2024-01-02,2024-01-02,Hyderabad,Delhi_WH,Sea,Supplier_D,None
O-1064,2023-02-04,2023-02-05,2023-02-07,2023-02-06,Chennai,Ahmedabad_WH,Sea,Supplier_C,None
O-1065,2023-06-30,2023-07-01,2023-07-07,2023-07-10,Pune,Kolkata_WH,Air,Supplier_A,Customs Delay
O-1066,2023-05-20,2023-05-23,2023-05-27,2023-05-28,Bengaluru,Mumbai_WH,Road,Supplier_C,Weather
O-1067,2023-07-09,2023-07-11,2023-07-15,2023-07-18,Pune,Mumbai_WH,Road,Supplier_D,Traffic
O-1068,2023-08-09,2023-08-10,2023-08-14,2023-08-17,Bengaluru,Kolkata_WH,Rail,Supplier_B,Transport Breakdown
O-1069,2023-09-12,2023-09-15,2023-09-20,2023-09-20,Bengaluru,Delhi_WH,Air,Supplier_C,None
O-1070,2023-10-22,2023-10-24,2023-10-30,2023-11-01,Bengaluru,Kolkata_WH,Rail,Supplier_D,Transport Breakdown
O-1071,2023-07-22,2023-07-24,2023-07-28,2023-07-28,Hyderabad,Delhi_WH,Rail,Supplier_D,None
O-1072,2023-05-12,2023-05-13,2023-05-16,2023-05-19,Bengaluru,Mumbai_WH,Road,Supplier_B,Customs Delay
O-1073,2023-02-04,2023-02-06,2023-02-11,2023-02-12,Chennai,Ahmedabad_WH,Road,Supplier_C,Weather
O-1074,2023-08-19,2023-08-22,2023-08-25,2023-08-26,Hyderabad,Delhi_WH,Air,Supplier_D,Transport Breakdown
O-1075,2023-05-25,2023-05-27,2023-06-01,2023-06-02,Pune,Kolkata_WH,Rail,Supplier_B,Traffic
O-1076,2023-03-08,2023-03-11,2023-03-13,2023-03-14,Pune,Ahmedabad_WH,Rail,Supplier_C,Transport Breakdown
O-1077,2023-04-26,2023-04-27,2023-04-30,2023-04-29,Hyderabad,Mumbai_WH,Rail,Supplier_C,None
O-1078,2023-07-30,2023-08-01,2023-08-04,2023-08-06,Hyderabad,Delhi_WH,Sea,Supplier_B,Weather
O-1079,2023-11-06,2023-11-07,2023-11-11,2023-11-10,Chennai,Mumbai_WH,Sea,Supplier_D,None
O-1080,2023-08-19,2023-08-21,2023-08-23,2023-08-25,Bengaluru,Mumbai_WH,Sea,Supplier_D,Traffic
O-1081,2023-08-30,2023-09-02,2023-09-05,2023-09-07,Bengaluru,Kolkata_WH,Road,Supplier_B,Transport Breakdown
O-1082,2023-08-03,2023-08-06,2023-08-12,2023-08-14,Bengaluru,Mumbai_WH,Road,Supplier_A,Traffic
O-1083,2023-04-06,2023-04-09,2023-04-11,2023-04-14,Chennai,Ahmedabad_WH,Road,Supplier_C,Weather
O-1084,2023-02-04,2023-02-06,2023-02-09,2023-02-08,Bengaluru,Kolkata_WH,Rail,Supplier_C,None
O-1085,2023-04-14,2023-04-15,2023-04-18,2023-04-17,Bengaluru,Kolkata_WH,Rail,Supplier_D,None
O-1086,2023-07-08,2023-07-10,2023-07-15,2023-07-17,Pune,Delhi_WH,Rail,Supplier_C,Transport Breakdown
O-1087,2023-02-10,2023-02-12,2023-02-16,2023-02-17,Pune,Delhi_WH,Sea,Supplier_C,Transport Breakdown
O-1088,2023-09-20,2023-09-23,2023-09-26,2023-09-25,Hyderabad,Kolkata_WH,Air,Supplier_A,None
O-1089,2023-07-10,2023-07-12,2023-07-14,2023-07-17,Hyderabad,Kolkata_WH,Rail,Supplier_B,Customs Delay
O-1090,2023-12-22,2023-12-24,2023-12-27,2023-12-26,Chennai,Kolkata_WH,Air,Supplier_D,None
O-1091,2023-07-05,2023-07-08,2023-07-11,2023-07-10,Chennai,Mumbai_WH,Air,Supplier_C,None
O-1092,2023-07-23,2023-07-26,2023-07-31,2023-08-03,Bengaluru,Kolkata_WH,Sea,Supplier_A,Transport Breakdown
O-1093,2023-03-05,2023-03-08,2023-03-11,2023-03-12,Hyderabad,Delhi_WH,Air,Supplier_B,Customs Delay
O-1094,2023-10-31,2023-11-03,2023-11-06,2023-11-06,Bengaluru,Mumbai_WH,Rail,Supplier_C,None
O-1095,2023-11-25,2023-11-27,2023-12-02,2023-12-02,Hyderabad,Kolkata_WH,Sea,Supplier_A,None
O-1096,2023-03-08,2023-03-10,2023-03-16,2023-03-19,Pune,Ahmedabad_WH,Rail,Supplier_C,Traffic
O-1097,2023-10-23,2023-10-26,2023-10-30,2023-10-30,Chennai,Kolkata_WH,Air,Supplier_B,None
O-1098,2023-05-25,2023-05-27,2023-06-02,2023-06-04,Bengaluru,Delhi_WH,Road,Supplier_C,Weather
O-1099,2023-07-17,2023-07-20,2023-07-25,2023-07-28,Pune,Delhi_WH,Road,Supplier_C,Weather
O-1100,2024-01-01,2024-01-03,2024-01-08,2024-01-11,Bengaluru,Mumbai_WH,Air,Supplier_A,Transport Breakdown
O-1101,2023-07-08,2023-07-10,2023-07-12,2023-07-14,Hyderabad,Delhi_WH,Road,Supplier_C,Weather
O-1102,2023-10-21,2023-10-24,2023-10-26,2023-10-26,Chennai,Delhi_WH,Road,Supplier_B,None
O-1103,2023-12-06,2023-12-08,2023-12-14,2023-12-16,Chennai,Kolkata_WH,Air,Supplier_B,Weather
O-1104,2023-06-02,2023-06-04,2023-06-07,2023-06-09,Pune,Mumbai_WH,Sea,Supplier_C,Weather
O-1105,2023-05-28,2023-05-31,2023-06-02,2023-06-03,Pune,Delhi_WH,Rail,Supplier_B,Transport Breakdown
O-1106,2023-01-27,2023-01-28,2023-02-02,2023-02-03,Chennai,Mumbai_WH,Road,Supplier_A,Transport Breakdown
O-1107,2023-02-15,2023-02-18,2023-02-24,2023-02-24,Pune,Delhi_WH,Road,Supplier_C,None
O-1108,2023-11-25,2023-11-28,2023-12-04,2023-12-06,Pune,Ahmedabad_WH,Sea,Supplier_C,Customs Delay
O-1109,2023-11-09,2023-11-12,2023-11-17,2023-11-19,Chennai,Mumbai_WH,Road,Supplier_C,Weather
O-1110,2023-05-14,2023-05-17,2023-05-21,2023-05-21,Pune,Delhi_WH,Road,Supplier_C,None
O-1111,2023-03-10,2023-03-12,2023-03-15,2023-03-17,Chennai,Mumbai_WH,Sea,Supplier_C,Weather
O-1112,2023-10-08,2023-10-11,2023-10-14,2023-10-17,Bengaluru,Delhi_WH,Air,Supplier_A,Customs Delay
O-1113,2023-08-22,2023-08-25,2023-08-27,2023-08-30,Chennai,Ahmedabad_WH,Rail,Supplier_D,Transport Breakdown
O-1114,2023-05-27,2023-05-29,2023-06-01,2023-06-01,Hyderabad,Delhi_WH,Sea,Supplier_A,None
O-1115,2023-01-02,2023-01-03,2023-01-07,2023-01-09,Chennai,Mumbai_WH,Sea,Supplier_D,Transport Breakdown
O-1116,2023-02-21,2023-02-24,2023-02-26,2023-02-28,Chennai,Delhi_WH,Air,Supplier_B,Traffic
O-1117,2023-03-15,2023-03-18,2023-03-24,2023-03-24,Chennai,Kolkata_WH,Sea,Supplier_C,None
O-1118,2023-03-18,2023-03-20,2023-03-25,2023-03-25,Hyderabad,Ahmedabad_WH,Sea,Supplier_C,None
O-1119,2023-11-28,2023-11-29,2023-12-04,2023-12-05,Chennai,Kolkata_WH,Air,Supplier_C,Traffic
O-1120,2023-04-08,2023-04-11,2023-04-13,2023-04-15,Bengaluru,Mumbai_WH,Air,Supplier_C,Customs Delay
O-1121,2023-06-13,2023-06-14,2023-06-18,2023-06-19,Bengaluru,Ahmedabad_WH,Road,Supplier_D,Transport Breakdown
O-1122,2023-10-09,2023-10-12,2023-10-16,2023-10-17,Chennai,Ahmedabad_WH,Sea,Supplier_D,Transport Breakdown
O-1123,2023-01-04,2023-01-06,2023-01-09,2023-01-09,Bengaluru,Delhi_WH,Road,Supplier_A,None
O-1124,2023-10-02,2023-10-04,2023-10-06,2023-10-09,Bengaluru,Kolkata_WH,Air,Supplier_A,Transport Breakdown
O-1125,2023-08-24,2023-08-27,2023-08-30,2023-08-30,Pune,Ahmedabad_WH,Rail,Supplier_A,None
O-1126,2023-11-27,2023-11-29,2023-12-05,2023-12-04,Hyderabad,Ahmedabad_WH,Road,Supplier_A,None
O-1127,2023-04-17,2023-04-20,2023-04-23,2023-04-25,Pune,Delhi_WH,Rail,Supplier_B,Traffic
O-1128,2023-08-12,2023-08-13,2023-08-15,2023-08-16,Bengaluru,Delhi_WH,Rail,Supplier_C,Transport Breakdown
O-1129,2024-01-01,2024-01-02,2024-01-04,2024-01-05,Pune,Mumbai_WH,Sea,Supplier_A,Customs Delay
O-1130,2023-04-06,2023-04-08,2023-04-13,2023-04-16,Chennai,Delhi_WH,Road,Supplier_A,Transport Breakdown
O-1131,2023-03-28,2023-03-29,2023-04-02,2023-04-03,Chennai,Ahmedabad_WH,Sea,Supplier_B,Weather
O-1132,2023-03-11,2023-03-13,2023-03-15,2023-03-17,Hyderabad,Delhi_WH,Sea,Supplier_B,Weather
O-1133,2023-07-23,2023-07-25,2023-07-29,2023-07-31,Pune,Mumbai_WH,Rail,Supplier_D,Customs Delay
O-1134,2023-12-21,2023-12-22,2023-12-27,2023-12-29,Hyderabad,Kolkata_WH,Rail,Supplier_B,Customs Delay
O-1135,2023-02-25,2023-02-26,2023-03-02,2023-03-02,Pune,Delhi_WH,Road,Supplier_A,None
O-1136,2023-08-26,2023-08-29,2023-09-04,2023-09-07,Pune,Ahmedabad_WH,Rail,Supplier_D,Customs Delay
O-1137,2023-02-19,2023-02-21,2023-02-26,2023-02-27,Pune,Ahmedabad_WH,Rail,Supplier_D,Traffic
O-1138,2023-08-25,2023-08-26,2023-08-31,2023-08-31,Pune,Ahmedabad_WH,Air,Supplier_B,None
O-1139,2023-10-02,2023-10-03,2023-10-07,2023-10-08,Bengaluru,Delhi_WH,Sea,Supplier_C,Customs Delay
O-1140,2023-12-11,2023-12-14,2023-12-18,2023-12-21,Hyderabad,Mumbai_WH,Air,Supplier_C,Traffic
O-1141,2023-11-22,2023-11-25,2023-11-28,2023-12-01,Chennai,Ahmedabad_WH,Sea,Supplier_D,Customs Delay
O-1142,2023-08-01,2023-08-04,2023-08-09,2023-08-11,Hyderabad,Ahmedabad_WH,Road,Supplier_D,Customs Delay
O-1143,2023-10-06,2023-10-08,2023-10-14,2023-10-13,Bengaluru,Kolkata_WH,Sea,Supplier_A,None
O-1144,2023-04-18,2023-04-21,2023-04-27,2023-04-28,Bengaluru,Mumbai_WH,Air,Supplier_D,Transport Breakdown
O-1145,2023-03-11,2023-03-13,2023-03-15,2023-03-16,Pune,Delhi_WH,Air,Supplier_C,Customs Delay
O-1146,2023-12-22,2023-12-24,2023-12-29,2023-12-31,Hyderabad,Kolkata_WH,Road,Supplier_A,Weather
O-1147,2023-09-11,2023-09-13,2023-09-17,2023-09-18,Hyderabad,Mumbai_WH,Air,Supplier_B,Weather
O-1148,2023-08-08,2023-08-09,2023-08-12,2023-08-13,Hyderabad,Delhi_WH,Rail,Supplier_D,Customs Delay
O-1149,2023-01-01,2023-01-02,2023-01-07,2023-01-06,Bengaluru,Delhi_WH,Air,Supplier_D,None
O-1150,2023-07-16,2023-07-17,2023-07-19,2023-07-18,Bengaluru,Mumbai_WH,Rail,Supplier_D,None
O-1151,2023-11-18,2023-11-21,2023-11-24,2023-11-26,Pune,Mumbai_WH,Air,Supplier_D,Transport Breakdown
O-1152,2023-12-20,2023-12-21,2023-12-25,2023-12-25,Chennai,Kolkata_WH,Air,Supplier_A,None
O-1153,2023-07-18,2023-07-21,2023-07-26,2023-07-27,Pune,Mumbai_WH,Sea,Supplier_C,Customs Delay
O-1154,2023-12-26,2023-12-28,2023-12-30,2024-01-02,Hyderabad,Ahmedabad_WH,Rail,Supplier_C,Customs Delay
O-1155,2023-08-11,2023-08-12,2023-08-17,2023-08-20,Chennai,Delhi_WH,Rail,Supplier_A,Traffic
O-1156,2023-05-18,2023-05-21,2023-05-23,2023-05-22,Pune,Mumbai_WH,Rail,Supplier_B,None
O-1157,2023-03-22,2023-03-24,2023-03-26,2023-03-29,Chennai,Kolkata_WH,Air,Supplier_D,Traffic
O-1158,2023-05-08,2023-05-10,2023-05-14,2023-05-15,Chennai,Kolkata_WH,Rail,Supplier_D,Traffic
O-1159,2023-10-11,2023-10-13,2023-10-15,2023-10-16,Pune,Delhi_WH,Rail,Supplier_C,Customs Delay
O-1160,2023-01-13,2023-01-14,2023-01-20,2023-01-21,Bengaluru,Ahmedabad_WH,Rail,Supplier_B,Traffic
O-1161,2023-04-29,2023-05-02,2023-05-07,2023-05-08,Bengaluru,Delhi_WH,Road,Supplier_C,Transport Breakdown
O-1162,2023-12-25,2023-12-28,2024-01-01,2024-01-02,Pune,Ahmedabad_WH,Rail,Supplier_C,Transport Breakdown
O-1163,2023-06-07,2023-06-09,2023-06-13,2023-06-12,Chennai,Ahmedabad_WH,Road,Supplier_C,None
O-1164,2023-01-16,2023-01-18,2023-01-23,2023-01-26,Pune,Mumbai_WH,Road,Supplier_C,Customs Delay
O-1165,2023-01-12,2023-01-13,2023-01-16,2023-01-18,Pune,Delhi_WH,Road,Supplier_A,Customs Delay
O-1166,2023-12-16,2023-12-18,2023-12-21,2023-12-22,Bengaluru,Ahmedabad_WH,Air,Supplier_D,Customs Delay
O-1167,2023-07-16,2023-07-17,2023-07-22,2023-07-22,Bengaluru,Kolkata_WH,Air,Supplier_A,None
O-1168,2023-01-14,2023-01-16,2023-01-22,2023-01-22,Pune,Mumbai_WH,Road,Supplier_D,None
O-1169,2023-10-22,2023-10-24,2023-10-28,2023-10-28,Bengaluru,Mumbai_WH,Air,Supplier_C,None
O-1170,2023-01-20,2023-01-21,2023-01-23,2023-01-23,Chennai,Ahmedabad_WH,Air,Supplier_C,None
O-1171,2023-10-28,2023-10-31,2023-11-03,2023-11-02,Bengaluru,Mumbai_WH,Rail,Supplier_A,None
O-1172,2023-12-29,2024-01-01,2024-01-07,2024-01-08,Pune,Mumbai_WH,Air,Supplier_D,Customs Delay
O-1173,2023-11-24,2023-11-27,2023-11-29,2023-12-01,Pune,Mumbai_WH,Rail,Supplier_B,Customs Delay
O-1174,2023-02-25,2023-02-28,2023-03-02,2023-03-01,Pune,Kolkata_WH,Sea,Supplier_A,None
O-1175,2023-01-18,2023-01-20,2023-01-22,2023-01-23,Hyderabad,Delhi_WH,Road,Supplier_B,Weather
O-1176,2023-11-07,2023-11-09,2023-11-12,2023-11-11,Hyderabad,Mumbai_WH,Road,Supplier_A,None
O-1177,2023-07-04,2023-07-05,2023-07-10,2023-07-09,Chennai,Delhi_WH,Rail,Supplier_D,None
O-1178,2023-08-30,2023-09-01,2023-09-05,2023-09-04,Pune,Ahmedabad_WH,Sea,Supplier_A,None
O-1179,2023-02-13,2023-02-16,2023-02-20,2023-02-23,Chennai,Delhi_WH,Air,Supplier_A,Transport Breakdown
O-1180,2023-09-15,2023-09-18,2023-09-24,2023-09-27,Hyderabad,Delhi_WH,Road,Supplier_A,Customs Delay
O-1181,2023-02-04,2023-02-05,2023-02-10,2023-02-13,Pune,Kolkata_WH,Rail,Supplier_B,Transport Breakdown
O-1182,2023-10-02,2023-10-04,2023-10-09,2023-10-10,Bengaluru,Kolkata_WH,Sea,Supplier_A,Transport Breakdown
O-1183,2023-05-18,2023-05-20,2023-05-22,2023-05-23,Bengaluru,Ahmedabad_WH,Rail,Supplier_B,Weather
O-1184,2023-04-19,2023-04-21,2023-04-26,2023-04-29,Chennai,Ahmedabad_WH,Road,Supplier_A,Weather
O-1185,2023-08-22,2023-08-23,2023-08-27,2023-08-27,Chennai,Delhi_WH,Rail,Supplier_A,None
O-1186,2023-03-25,2023-03-27,2023-03-29,2023-03-30,Pune,Kolkata_WH,Sea,Supplier_D,Traffic
O-1187,2023-11-28,2023-11-29,2023-12-05,2023-12-04,Hyderabad,Mumbai_WH,Air,Supplier_A,None
O-1188,2023-10-27,2023-10-28,2023-10-30,2023-11-02,Pune,Ahmedabad_WH,Rail,Supplier_D,Weather
O-1189,2023-01-30,2023-02-02,2023-02-07,2023-02-08,Chennai,Mumbai_WH,Road,Supplier_B,Customs Delay
O-1190,2023-12-10,2023-12-12,2023-12-18,2023-12-19,Chennai,Ahmedabad_WH,Air,Supplier_C,Customs Delay
O-1191,2023-07-10,2023-07-12,2023-07-18,2023-07-19,Hyderabad,Kolkata_WH,Road,Supplier_C,Transport Breakdown
O-1192,2023-03-19,2023-03-20,2023-03-23,2023-03-24,Hyderabad,Delhi_WH,Sea,Supplier_C,Transport Breakdown
O-1193,2023-10-23,2023-10-24,2023-10-29,2023-10-28,Chennai,Mumbai_WH,Air,Supplier_C,None
O-1194,2023-12-13,2023-12-14,2023-12-17,2023-12-17,Chennai,Delhi_WH,Rail,Supplier_C,None
O-1195,2023-09-08,2023-09-10,2023-09-13,2023-09-13,Chennai,Kolkata_WH,Sea,Supplier_D,None
O-1196,2023-11-01,2023-11-02,2023-11-04,2023-11-03,Pune,Delhi_WH,Road,Supplier_D,None
O-1197,2023-12-06,2023-12-09,2023-12-13,2023-12-16,Hyderabad,Delhi_WH,Sea,Supplier_C,Customs Delay
O-1198,2023-03-24,2023-03-25,2023-03-31,2023-04-02,Hyderabad,Kolkata_WH,Sea,Supplier_C,Customs Delay
O-1199,2023-08-22,2023-08-24,2023-08-28,2023-08-30,Pune,Mumbai_WH,Road,Supplier_A,Traffic
O-1200,2023-06-18,2023-06-20,2023-06-25,2023-06-28,Chennai,Mumbai_WH,Road,Supplier_A,Weather
O-1201,2023-12-23,2023-12-26,2023-12-28,2023-12-28,Bengaluru,Mumbai_WH,Road,Supplier_B,None
O-1202,2023-07-30,2023-08-01,2023-08-03,2023-08-02,Hyderabad,Delhi_WH,Rail,Supplier_D,None
O-1203,2023-06-27,2023-06-30,2023-07-05,2023-07-05,Chennai,Ahmedabad_WH,Road,Supplier_D,None
O-1204,2023-07-26,2023-07-27,2023-07-29,2023-07-31,Chennai,Ahmedabad_WH,Sea,Supplier_A,Transport Breakdown
O-1205,2023-12-02,2023-12-05,2023-12-10,2023-12-11,Pune,Mumbai_WH,Road,Supplier_A,Weather
O-1206,2023-01-02,2023-01-04,2023-01-08,2023-01-09,Bengaluru,Mumbai_WH,Road,Supplier_A,Weather
O-1207,2023-06-23,2023-06-24,2023-06-29,2023-06-28,Hyderabad,Mumbai_WH,Road,Supplier_B,None
O-1208,2023-02-23,2023-02-25,2023-03-03,2023-03-06,Chennai,Mumbai_WH,Sea,Supplier_B,Weather
O-1209,2023-04-18,2023-04-21,2023-04-25,2023-04-26,Chennai,Mumbai_WH,Air,Supplier_C,Customs Delay
O-1210,2023-09-25,2023-09-26,2023-09-28,2023-09-30,Hyderabad,Delhi_WH,Road,Supplier_C,Customs Delay
O-1211,2023-11-12,2023-11-15,2023-11-21,2023-11-21,Hyderabad,Delhi_WH,Sea,Supplier_C,None
O-1212,2023-11-21,2023-11-24,2023-11-28,2023-12-01,Hyderabad,Mumbai_WH,Air,Supplier_B,Customs Delay
O-1213,2023-01-03,2023-01-05,2023-01-10,2023-01-10,Chennai,Kolkata_WH,Road,Supplier_B,None
O-1214,2023-09-24,2023-09-25,2023-10-01,2023-10-01,Chennai,Mumbai_WH,Sea,Supplier_C,None
O-1215,2023-08-17,2023-08-18,2023-08-24,2023-08-27,Bengaluru,Kolkata_WH,Road,Supplier_A,Customs Delay
O-1216,2023-06-01,2023-06-04,2023-06-07,2023-06-08,Hyderabad,Delhi_WH,Road,Supplier_D,Traffic
O-1217,2023-11-28,2023-11-29,2023-12-02,2023-12-01,Chennai,Ahmedabad_WH,Sea,Supplier_A,None
O-1218,2023-11-19,2023-11-21,2023-11-26,2023-11-27,Hyderabad,Ahmedabad_WH,Sea,Supplier_D,Traffic
